[2025-02-05 15:06:07,409] 20 root -INFO -Initiate the data ingestion
[2025-02-05 15:06:14,296] 65 root -INFO -Performed train test split on the dataframe
[2025-02-05 15:06:14,297] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-05 15:06:14,297] 75 root -INFO -Exporting train and test file path.
[2025-02-05 15:06:14,402] 84 root -INFO -Exported train and test file path.
[2025-02-05 15:06:14,402] 22 root -INFO -Data Initiation Completed
[2025-02-05 15:06:14,444] 27 root -INFO -Initiate the data Validation
[2025-02-05 15:06:14,554] 32 root -INFO -Required number of columns:2
[2025-02-05 15:06:14,554] 33 root -INFO -Data frame has columns:31
[2025-02-05 15:06:14,554] 32 root -INFO -Required number of columns:2
[2025-02-05 15:06:14,554] 33 root -INFO -Data frame has columns:31
[2025-02-05 15:06:15,180] 29 root -INFO -data Validation Completed
[2025-02-05 15:06:15,202] 33 root -INFO -data Transformation started
[2025-02-05 15:06:15,203] 63 root -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-02-05 15:06:15,203] 65 root -INFO -Starting data transformation
[2025-02-05 15:06:15,263] 48 root -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-02-05 15:06:15,263] 53 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-02-05 15:06:15,294] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-02-05 15:06:15,305] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-02-05 15:06:15,306] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-02-05 15:06:15,317] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-02-05 15:06:15,360] 37 root -INFO -data Transformation completed
