[2025-02-05 17:42:55,381] 20 root -INFO -Initiate the data ingestion
[2025-02-05 17:42:57,975] 65 root -INFO -Performed train test split on the dataframe
[2025-02-05 17:42:57,975] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-05 17:42:57,975] 75 root -INFO -Exporting train and test file path.
[2025-02-05 17:42:58,053] 84 root -INFO -Exported train and test file path.
[2025-02-05 17:42:58,053] 22 root -INFO -Data Initiation Completed
[2025-02-05 17:42:58,083] 27 root -INFO -Initiate the data Validation
[2025-02-05 17:42:58,193] 32 root -INFO -Required number of columns:2
[2025-02-05 17:42:58,193] 33 root -INFO -Data frame has columns:31
[2025-02-05 17:42:58,193] 32 root -INFO -Required number of columns:2
[2025-02-05 17:42:58,203] 33 root -INFO -Data frame has columns:31
[2025-02-05 17:42:58,453] 29 root -INFO -data Validation Completed
[2025-02-05 17:42:58,453] 33 root -INFO -data Transformation started
[2025-02-05 17:42:58,453] 63 root -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-02-05 17:42:58,453] 65 root -INFO -Starting data transformation
[2025-02-05 17:42:58,483] 48 root -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-02-05 17:42:58,483] 53 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-02-05 17:42:58,496] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-02-05 17:42:58,513] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-02-05 17:42:58,513] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-02-05 17:42:58,513] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-02-05 17:42:58,513] 37 root -INFO -data Transformation completed
[2025-02-05 17:42:58,513] 39 root -INFO -Model Training sstared
[2025-02-05 17:50:35,872] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-02-05 17:50:35,886] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-02-05 17:50:35,886] 143 root -INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_05_2025_17_42_25\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9923123609144244, precision_score=0.9893102057281161, recall_score=0.9953327922077922), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.978225806451613, precision_score=0.9696243005595524, recall_score=0.9869812855980472))
[2025-02-05 17:50:35,897] 44 root -INFO -Model Training artifact created
