[2025-02-05 14:08:29,950] 20 root -INFO -Initiate the data ingestion
[2025-02-05 14:08:33,994] 65 root -INFO -Performed train test split on the dataframe
[2025-02-05 14:08:33,994] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-05 14:08:33,994] 75 root -INFO -Exporting train and test file path.
[2025-02-05 14:08:34,072] 84 root -INFO -Exported train and test file path.
[2025-02-05 14:08:34,072] 22 root -INFO -Data Initiation Completed
[2025-02-05 14:08:34,129] 26 root -INFO -Initiate the data Validation
[2025-02-05 14:08:34,609] 32 root -INFO -Required number of columns:2
[2025-02-05 14:08:34,609] 33 root -INFO -Data frame has columns:31
[2025-02-05 14:08:34,609] 32 root -INFO -Required number of columns:2
[2025-02-05 14:08:34,750] 33 root -INFO -Data frame has columns:31
[2025-02-05 14:08:35,170] 28 root -INFO -data Validation Completed
